"time","GEO_ID","NAME","SVY_COMP","SVY_COMP_LABEL","AGG_DESC","AGG_DESC_LABEL","GOVTYPE","GOVTYPE_LABEL","AMOUNT",
"Year","Geographic identifier code","Geographic Area Name","Survey Component","Meaning of Survey Component","Aggregate Description","Meaning of Aggregate Description","Type of Government","Meaning of Type of Government","Amount",
"2014","0400000US02","Alaska","06","Annual Survey of School System Finance","SS1903","Fall enrollment","001","State and Local","130539",
"2015","0400000US02","Alaska","06","Annual Survey of School System Finance","SS1903","Fall enrollment","001","State and Local","130755",
"2016","0400000US02","Alaska","06","Annual Survey of School System Finance","SS1903","Fall enrollment","001","State and Local","132477",
"2017","0400000US02","Alaska","06","Annual Survey of School System Finance","SS1903","Fall enrollment","001","State and Local","132737",
"2018","0400000US02","Alaska","06","Annual Survey of School System Finance","SS1903","Fall enrollment","001","State and Local","132872",
"2019","0400000US02","Alaska","06","Annual Survey of School System Finance","SS1903","Fall enrollment","001","State and Local","130963",
"2020","0400000US02","Alaska","06","Annual Survey of School System Finance","SS1903","Fall enrollment","001","State and Local","132017",
"2021","0400000US02","Alaska","06","Annual Survey of School System Finance","SS1903","Fall enrollment","001","State and Local","129872",
"2022","0400000US02","Alaska","06","Annual Survey of School System Finance","SS1903","Fall enrollment","001","State and Local","129944",
"2012","0400000US02","Alaska","06","Annual Survey of School System Finance","SS1905","Personal income (prior calendar year, in million dollars)","001","State and Local","34827",
"2013","0400000US02","Alaska","06","Annual Survey of School System Finance","SS1905","Personal income (prior calendar year, in million dollars)","001","State and Local","36867",
"2014","0400000US02","Alaska","06","Annual Survey of School System Finance","SS1905","Personal income (prior calendar year, in million dollars)","001","State and Local","37791",
"2015","0400000US02","Alaska","06","Annual Survey of School System Finance","SS1905","Personal income (prior calendar year, in million dollars)","001","State and Local","40229",
"2016","0400000US02","Alaska","06","Annual Survey of School System Finance","SS1905","Personal income (prior calendar year, in million dollars)","001","State and Local","41701",
"2017","0400000US02","Alaska","06","Annual Survey of School System Finance","SS1905","Personal income (prior calendar year, in million dollars)","001","State and Local","41536",
"2018","0400000US02","Alaska","06","Annual Survey of School System Finance","SS1905","Personal income (prior calendar year, in million dollars)","001","State and Local","42454",
"2019","0400000US02","Alaska","06","Annual Survey of School System Finance","SS1905","Personal income (prior calendar year, in million dollars)","001","State and Local","44370",
"2020","0400000US02","Alaska","06","Annual Survey of School System Finance","SS1905","Personal income (prior calendar year, in million dollars)","001","State and Local","45294",
"2021","0400000US02","Alaska","06","Annual Survey of School System Finance","SS1905","Personal income (prior calendar year, in million dollars)","001","State and Local","45965",
"2022","0400000US02","Alaska","06","Annual Survey of School System Finance","SS1905","Personal income (prior calendar year, in million dollars)","001","State and Local","48208",
"2012","0400000US04","Arizona","06","Annual Survey of School System Finance","SS1901","State population (in thousands)","001","State and Local","6553",
"2013","0400000US04","Arizona","06","Annual Survey of School System Finance","SS1901","State population (in thousands)","001","State and Local","6635",
"2014","0400000US04","Arizona","06","Annual Survey of School System Finance","SS1901","State population (in thousands)","001","State and Local","6731",
"2015","0400000US04","Arizona","06","Annual Survey of School System Finance","SS1901","State population (in thousands)","001","State and Local","6818",
"2016","0400000US04","Arizona","06","Annual Survey of School System Finance","SS1901","State population (in thousands)","001","State and Local","6909",
"2017","0400000US04","Arizona","06","Annual Survey of School System Finance","SS1901","State population (in thousands)","001","State and Local","7044",
"2018","0400000US04","Arizona","06","Annual Survey of School System Finance","SS1901","State population (in thousands)","001","State and Local","7158",
"2019","0400000US04","Arizona","06","Annual Survey of School System Finance","SS1901","State population (in thousands)","001","State and Local","7280",
"2020","0400000US04","Arizona","06","Annual Survey of School System Finance","SS1901","State population (in thousands)","001","State and Local","7178",
"2021","0400000US04","Arizona","06","Annual Survey of School System Finance","SS1901","State population (in thousands)","001","State and Local","7265",
"2022","0400000US04","Arizona","06","Annual Survey of School System Finance","SS1901","State population (in thousands)","001","State and Local","7366",
"2012","0400000US04","Arizona","06","Annual Survey of School System Finance","SS1903","Fall enrollment","001","State and Local","942738",
"2013","0400000US04","Arizona","06","Annual Survey of School System Finance","SS1903","Fall enrollment","001","State and Local","941726",
"2014","0400000US04","Arizona","06","Annual Survey of School System Finance","SS1903","Fall enrollment","001","State and Local","943937",
"2015","0400000US04","Arizona","06","Annual Survey of School System Finance","SS1903","Fall enrollment","001","State and Local","944978",
"2016","0400000US04","Arizona","06","Annual Survey of School System Finance","SS1903","Fall enrollment","001","State and Local","938274",
"2017","0400000US04","Arizona","06","Annual Survey of School System Finance","SS1903","Fall enrollment","001","State and Local","936038",
"2018","0400000US04","Arizona","06","Annual Survey of School System Finance","SS1903","Fall enrollment","001","State and Local","919644",
"2019","0400000US04","Arizona","06","Annual Survey of School System Finance","SS1903","Fall enrollment","001","State and Local","934585",
"2020","0400000US04","Arizona","06","Annual Survey of School System Finance","SS1903","Fall enrollment","001","State and Local","936332",
"2021","0400000US04","Arizona","06","Annual Survey of School System Finance","SS1903","Fall enrollment","001","State and Local","879606",
"2022","0400000US04","Arizona","06","Annual Survey of School System Finance","SS1903","Fall enrollment","001","State and Local","900136",
"2012","0400000US04","Arizona","06","Annual Survey of School System Finance","SS1905","Personal income (prior calendar year, in million dollars)","001","State and Local","229238",
"2013","0400000US04","Arizona","06","Annual Survey of School System Finance","SS1905","Personal income (prior calendar year, in million dollars)","001","State and Local","245070",
"2014","0400000US04","Arizona","06","Annual Survey of School System Finance","SS1905","Personal income (prior calendar year, in million dollars)","001","State and Local","243657",
"2015","0400000US04","Arizona","06","Annual Survey of School System Finance","SS1905","Personal income (prior calendar year, in million dollars)","001","State and Local","255732",
"2016","0400000US04","Arizona","06","Annual Survey of School System Finance","SS1905","Personal income (prior calendar year, in million dollars)","001","State and Local","270258",
"2017","0400000US04","Arizona","06","Annual Survey of School System Finance","SS1905","Personal income (prior calendar year, in million dollars)","001","State and Local","282478",
"2018","0400000US04","Arizona","06","Annual Survey of School System Finance","SS1905","Personal income (prior calendar year, in million dollars)","001","State and Local","300008",
"2019","0400000US04","Arizona","06","Annual Survey of School System Finance","SS1905","Personal income (prior calendar year, in million dollars)","001","State and Local","319226",
"2020","0400000US04","Arizona","06","Annual Survey of School System Finance","SS1905","Personal income (prior calendar year, in million dollars)","001","State and Local","334024",
"2021","0400000US04","Arizona","06","Annual Survey of School System Finance","SS1905","Personal income (prior calendar year, in million dollars)","001","State and Local","375601",
"2022","0400000US04","Arizona","06","Annual Survey of School System Finance","SS1905","Personal income (prior calendar year, in million dollars)","001","State and Local","409886",
"2012","0400000US05","Arkansas","06","Annual Survey of School System Finance","SS1901","State population (in thousands)","001","State and Local","2949",
"2013","0400000US05","Arkansas","06","Annual Survey of School System Finance","SS1901","State population (in thousands)","001","State and Local","2959",
"2014","0400000US05","Arkansas","06","Annual Survey of School System Finance","SS1901","State population (in thousands)","001","State and Local","2966",
"2015","0400000US05","Arkansas","06","Annual Survey of School System Finance","SS1901","State population (in thousands)","001","State and Local","2978",
"2016","0400000US05","Arkansas","06","Annual Survey of School System Finance","SS1901","State population (in thousands)","001","State and Local","2988",
"2017","0400000US05","Arkansas","06","Annual Survey of School System Finance","SS1901","State population (in thousands)","001","State and Local","3001",
"2018","0400000US05","Arkansas","06","Annual Survey of School System Finance","SS1901","State population (in thousands)","001","State and Local","3010",
"2019","0400000US05","Arkansas","06","Annual Survey of School System Finance","SS1901","State population (in thousands)","001","State and Local","3020",
"2020","0400000US05","Arkansas","06","Annual Survey of School System Finance","SS1901","State population (in thousands)","001","State and Local","3012",
"2021","0400000US05","Arkansas","06","Annual Survey of School System Finance","SS1901","State population (in thousands)","001","State and Local","3028",
"2022","0400000US05","Arkansas","06","Annual Survey of School System Finance","SS1901","State population (in thousands)","001","State and Local","3046",
"2012","0400000US05","Arkansas","06","Annual Survey of School System Finance","SS1903","Fall enrollment","001","State and Local","475671",
"2013","0400000US05","Arkansas","06","Annual Survey of School System Finance","SS1903","Fall enrollment","001","State and Local","477716",
"2014","0400000US05","Arkansas","06","Annual Survey of School System Finance","SS1903","Fall enrollment","001","State and Local","479881",
"2015","0400000US05","Arkansas","06","Annual Survey of School System Finance","SS1903","Fall enrollment","001","State and Local","479682",
"2016","0400000US05","Arkansas","06","Annual Survey of School System Finance","SS1903","Fall enrollment","001","State and Local","479177",
"2017","0400000US05","Arkansas","06","Annual Survey of School System Finance","SS1903","Fall enrollment","001","State and Local","478996",
"2018","0400000US05","Arkansas","06","Annual Survey of School System Finance","SS1903","Fall enrollment","001","State and Local","479959",
